LATITUDE,LONGITUD
32.32701111,-86.936
32.34697222,-86.0742
34.71551389,-87.6524
30.66535833,-88.1444
32.60822222,-86.3946
32.51379722,-86.2125
34.60163611,-87.011
34.85969444,-87.5251
33.95126667,-87.3291
32.53913611,-87.7761
33.24762778,-86.3385
32.30765,-87.2374
33.56731111,-85.9686
33.88550556,-86.2497
34.32850556,-86.3261
31.19454167,-85.3245
33.59419167,-86.1221
32.66709722,-85.7947
33.80969444,-87.8017
31.21680278,-85.1914
34.36038056,-87.6025
33.42483333,-86.1454
34.04458333,-86.9507
34.72068611,-86.746
34.488075,-88.0457
32.60624444,-85.4253
32.34393611,-85.2532
31.11956944,-88.1086
30.69036944,-87.505
33.88346944,-85.6324
31.42843333,-87.109
34.42733333,-86.2614
33.40974444,-86.936
34.54055833,-86.919
34.17080278,-85.7947
30.2387,-87.8877
32.4795,-85.0307
34.75880556,-86.4744
33.50921944,-86.8492
32.52511944,-85.3031
33.57270278,-86.449
33.96187778,-87.2138
33.97631389,-85.4773
33.53423611,-86.7688
34.03749167,-85.6109
33.68640833,-85.8883
33.85486667,-87.1855
33.80736111,-87.142
32.39230278,-86.1716
34.27328333,-86.0326
33.08669444,-87.6796
34.10760278,-86.8663
33.51941111,-86.858
31.5473,-86.88
32.32654722,-86.2957
34.22774722,-86.2598
30.65857778,-88.1119
32.436025,-86.9914
33.69628333,-86.7012
34.591475,-86.5627
31.0428,-87.207
33.21592778,-87.5633
32.68163333,-85.313
33.82590833,-85.7694
31.35807778,-86.3444
33.561925,-86.8568
31.43478611,-85.6443
31.00581389,-85.4096
32.87562778,-87.869
31.73064167,-86.1967
32.80717778,-86.7752
33.57373889,-86.5265
32.35914167,-86.3069
33.48879444,-86.7867
31.30093056,-87.5028
34.10373611,-86.7111
33.31285556,-86.6576
30.55286944,-87.7407
33.90701944,-87.3604
34.66488056,-87.5507
33.39891389,-85.3746
32.39745556,-85.5102
32.33630278,-85.1499
34.79119167,-87.0186
34.96262778,-86.8271
33.94028056,-86.434
33.26276667,-87.31
34.76191389,-86.8444
33.68372222,-85.3736
33.91669167,-86.7112
34.71346389,-87.7112
32.11009722,-85.6995
34.15623611,-86.1997
32.351475,-86.3234
30.56713889,-87.8693
31.73076944,-88.0076
32.30036667,-86.4432
34.71256389,-86.6133
30.73093056,-88.1614
31.36856389,-86.104
34.78634444,-87.6983
31.174025,-85.2346
33.63294444,-85.7337
33.48002778,-86.775
33.94566389,-87.5
33.40871389,-86.1337
32.39292778,-86.1985
33.40315833,-86.9658
33.47254444,-86.883
34.57266389,-87.2685
32.53718333,-85.8662
32.96140833,-86.2056
32.899775,-86.632
33.59755556,-86.3417
33.63547778,-85.5355
33.594175,-86.6588
30.68443889,-87.9982
30.77965833,-88.0979
31.40818056,-87.0155
32.84287222,-86.5952
33.60241944,-86.307
33.5987,-86.5372
34.05328611,-86.2929
31.79306389,-86.7317
33.46141389,-86.9087
30.98842222,-88.3258
34.78087222,-86.5366
33.46426111,-87.6365
33.81929722,-87.3114
33.87103889,-86.5699
32.53886111,-86.4912
31.86678611,-85.3692
33.85438056,-86.6588
31.97213333,-87.6309
34.10734444,-85.8727
31.138275,-85.65
33.53781111,-86.7564
32.59860278,-86.8159
30.60504722,-88.1637
33.92725,-86.81
33.10420556,-86.0074
34.62795,-86.9118
33.7748,-86.2812
34.87275556,-86.731
33.22169444,-85.5435
31.06288333,-87.4913
33.91604444,-86.61
31.59130278,-85.105
32.04246944,-86.3843
32.04247778,-86.3843
31.18753611,-85.2757
32.50788056,-87.5287
32.83116111,-86.6958
34.589375,-86.4516
34.83906667,-87.6828
34.21685833,-85.8977
34.68603611,-87.6022
34.20295556,-87.0196
31.45677778,-88.1953
32.79848056,-85.6882
33.45201667,-86.8109
31.80708611,-86.6114
31.93039167,-87.7384
31.46413611,-87.4167
33.47503611,-88.2474
32.90470556,-86.6476
33.68043889,-88.0365
31.67563889,-87.7435
34.41618333,-88.1366
33.304825,-86.8392
34.80314722,-85.6045
32.26946389,-86.5455
32.29524722,-87.7954
33.57491944,-87.1405
33.79804722,-86.2422
33.34913333,-86.6245
31.42266944,-86.6459
32.47035278,-85.0977
33.91221667,-86.5105
33.70275278,-87.1372
32.99331111,-87.7784
34.29195278,-86.25
30.74757778,-88.1127
34.79648611,-86.6168
30.8027,-88.1508
34.11276944,-85.9544
33.87855278,-87.7421
34.81925,-87.6569
34.89316111,-87.4736
34.76704722,-86.554
30.69968333,-88.0644
33.52083889,-86.8406
30.68639167,-88.0411
33.59221389,-86.4217
31.85356944,-86.6833
32.91409722,-87.9975
34.80810278,-86.7706
31.02248611,-87.5305
32.14605278,-85.6337
33.20336944,-87.5761
30.690225,-88.164
34.37630278,-86.2891
34.35835278,-86.5294
34.62506111,-85.7542
33.57122222,-86.7226
31.54755,-87.1898
32.30038611,-86.3497
33.45831667,-86.027
33.10097778,-88.1397
32.23638611,-86.3461
33.23793611,-87.143
34.4371,-86.9006
33.84959444,-86.828
33.24988056,-87.1341
33.70242222,-87.1363
30.96468611,-87.7597
31.15400556,-87.3869
34.03112222,-86.8718
31.41618333,-86.4846
34.87319167,-87.5969
32.46734167,-87.594
30.47253889,-88.31
33.56725556,-85.8125
33.27579444,-87.2146
31.86167778,-86.72
32.63565,-86.3192
31.85893333,-85.166
31.50009444,-87.3954
33.26244722,-86.3075
34.39547222,-86.0085
32.87603333,-86.1168
33.26733611,-85.8365
33.41441111,-86.667
33.97438611,-86.4466
33.43003056,-86.919
32.65553333,-86.2484
